Town,Educational_Neglect_Total,Educational_Neglect_Substantiated,Emotional_Neglect_Total,Emotional_Neglect_Substantiated,Medical_Neglect_Total,Medical_Neglect_Substantiated,Physical_Abuse_Total,Physical_Abuse_Substantiated,Physical_Neglect_Total,Physical_Neglect_Substantiated,Sexual_Abuse_Total,Sexual_Abuse_Substantiated,Grand_Total_Total,Grand_Total_Substantiated
Ansonia,33,10,116,26,10,10,52,10,368,99,16,10,595,165
Ashford,0,0,26,17,10,0,10,0,57,18,0,0,103,35
Berlin,10,0,41,10,10,0,22,10,76,12,10,0,169,32
Bethel,10,10,28,10,10,10,17,10,118,23,10,0,193,63
Bloomfield,10,10,47,10,10,0,43,10,188,10,10,0,308,40
Branford,12,10,57,13,10,10,28,10,220,32,11,10,338,85
Bridgeport,295,41,636,112,153,36,594,47,2606,543,134,41,4418,820
Bristol,66,10,336,61,18,0,159,17,1002,156,26,10,1607,254
Brookfield,16,10,31,10,0,0,16,0,70,10,10,0,143,30
Brooklyn,10,0,25,14,10,10,16,10,128,24,10,10,199,68
Canterbury,10,10,13,10,0,0,10,0,37,10,10,0,80,30
Cheshire,0,0,60,20,0,0,29,10,147,40,10,0,246,70
Clinton,10,0,52,22,10,0,18,10,136,22,10,10,236,64
Colchester,10,10,54,15,10,10,18,0,190,86,10,0,292,121
Coventry,10,10,33,14,10,0,10,0,95,18,10,0,168,42
Danbury,38,10,220,40,56,23,188,19,852,207,44,13,1398,312
Danielson,10,0,60,25,11,0,30,10,237,54,10,0,358,89
Dayville,10,0,51,20,10,0,11,0,116,18,10,0,208,38
Derby,29,15,54,10,12,10,37,10,227,43,10,0,369,88
East Hampton,10,0,26,10,10,0,18,0,101,19,10,10,175,39
East Hartford,48,10,197,27,22,10,183,13,1021,219,41,10,1512,289
East Haven,33,10,148,16,10,10,83,10,503,71,14,10,791,127
East Windsor,0,0,24,10,0,0,24,0,102,41,10,0,160,51
Enfield,26,10,149,13,17,10,83,10,633,117,28,10,936,170
Fairfield,19,10,87,15,10,0,44,10,212,35,14,10,386,80
Glastonbury,10,0,28,10,10,0,22,10,128,35,10,10,208,65
Greenwich,11,10,76,10,10,0,52,0,169,15,10,0,328,35
Griswold,21,15,36,14,10,10,13,0,91,24,10,0,181,63
Groton,16,10,164,62,23,10,99,13,521,131,19,10,842,236
Hamden,16,10,97,16,13,10,92,10,406,55,29,10,653,111
